DrugBank ID,Indication Type,Indication,Combined Product Details
DB00006,Prevention of,Thrombotic events,
DB00006,Prevention of,Thrombotic events,
DB00006,Prevention of,Thrombotic events,
DB00006,Prevention of,Thrombotic events,
DB00006,Prevention of,Thrombotic events,
DB00007,Treatment of,Advanced prostate cancer,
DB00007,Treatment of,Advanced prostate cancer,
DB00007,Treatment of,Advanced prostate cancer,
DB00007,Treatment of,Advanced prostate cancer,
DB00007,Treatment of,Advanced prostate cancer,
DB00014,Induction of,Abnormal uterine bleeding,
DB00014,Management of,Advanced breast cancer,
DB00014,Management of,Endometriosis,
DB00014,Management of,Advanced carcinoma of the prostate,
DB00014,Used in combination to manage,Stage t2b carcinoma of the prostate,Regimen in combination with:Flutamide (DB00499)
DB00027,Used in combination to treat,Allergic skin reaction,"Combination Product in combination with:Framycetin (DB00452),Desoximetasone (DB00547)"
DB00027,Used in combination to treat,Conjunctivitis,"Combination Product in combination with:Neomycin (DB00994),Polymyxin B (DB00781)"
DB00027,Used in combination to treat,Conjunctivitis allergic,"Combination Product in combination with:Framycetin (DB00452),Dexamethasone (DB01234)"
DB00027,Used in combination to treat,Conjunctivitis infective,"Combination Product in combination with:Dexamethasone (DB01234),Framycetin (DB00452)"
DB00027,Used in combination to treat,Corneal inflammation,"Combination Product in combination with:Polymyxin B (DB00781),Neomycin (DB00994)"
DB00035,Prevention of,Bleeding,
DB00035,Prevention of,Bleeding,
DB00035,Treatment of,Bleeding,
DB00035,Treatment of,Bleeding,
DB00035,Treatment of,Bleeding,
DB00067,Treatment of,Vasodilatory shock,
DB00080,Treatment of,Complicated skin and skin structure infection,
DB00080,Treatment of,Staphylococcus aureus bloodstream infections (bsi; bacteremia),
DB00080,Treatment of,Staphylococcus aureus bloodstream infections (bsi; bacteremia),
DB00091,Treatment of,Atopic dermatitis,
DB00091,Prophylaxis of,Bone marrow transplant rejection,
DB00091,Treatment of,Chronic transplant rejection,
DB00091,Treatment of,Connective tissue disorder,
DB00091,Treatment of,Dry eyes,
DB00115,Used in combination to treat,Anemia,Combination Product in combination with:Ferrous fumarate (DB14491)
DB00115,Used in combination to treat,"Anemia, pernicious",Combination Product in combination with:Ferrous fumarate (DB14491)
DB00115,Used in combination to treat,Combined vitamin b1 and b12 deficiency,"Combination Product in combination with:Lipoic acid (DB00166),Thiamine (DB00152)"
DB00115,Used in combination for therapy,Convalescence,Combination Product in combination with:Arginine PCA (DB16025)
DB00115,Used in combination to treat,Diabetic neuropathies,"Combination Product in combination with:Thiamine (DB00152),Lipoic acid (DB00166)"
DB00118,Treatment of,Fatigue,
DB00118,Treatment of,Intrahepatic cholestasis,
DB00118,Treatment of,Intrahepatic cholestasis,
DB00118,Treatment of,Intrahepatic cholestasis,
DB00118,Treatment of,Intrahepatic cholestasis,
DB00121,Used in combination to prevent,Vitamin deficiency,
DB00123,Used in combination to treat,Weight loss,Combination Product in combination with:Cyproheptadine (DB00434)
DB00123,Used in combination to treat,Weight loss,Combination Product in combination with:Cyproheptadine (DB00434)
DB00123,Used in combination to treat,Weight loss,Combination Product in combination with:Cyproheptadine (DB00434)
DB00125,Diagnostic agent,Acromegaly,
DB00125,Diagnostic agent,Gigantism,
DB00125,Treatment of,Hyperammonemia,
DB00125,Diagnostic agent,Hypophysectomy,
DB00125,Used in combination to prevent,Kidney damage,Combination Product in combination with:Lysine (DB00123)
DB00126,Used in combination for symptomatic treatment of,Common cold,Combination Product in combination with:Carbaspirin calcium (DB13612)
DB00126,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Acetaminophen (DB00316),Acetylsalicylic acid (DB00945)"
DB00126,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Acetylcysteine (DB06151),Acetaminophen (DB00316)"
DB00126,Used in combination to prevent,"Deficiency, vitamin a","Combination Product in combination with:Vitamin D (DB11094),Vitamin A (DB00162)"
DB00126,Used in combination to prevent,"Deficiency, vitamin d","Combination Product in combination with:Vitamin A (DB00162),Vitamin D (DB11094)"
DB00129,Treatment of,Hepatic encephalopathy (he),
DB00130,Used in combination to manage,Osteoporosis,"Combination Product in combination with:Calcium citrate (DB11093),Calcium gluconate (DB11126)"
DB00130,Treatment of,Acute complications of sickle cell disease,
DB00133,Used in combination to treat,Iron deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00133,Used in combination to treat,Iron deficiency anemia (ida),Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00134,Used in combination to treat,Hepatic encephalopathy (he),"Combination Product in combination with:Ascorbic acid (DB00126),Thiamine (DB00152),Calcifediol (DB00146),Adenine (DB00173),Tyrosine (DB00135),Tryptophan (DB00150),Phosphoric acid (DB09394),Biotin (DB00121),Sodium bisulfite (DB14015),Valine (DB00161),Ademetionine (DB00118),Aspartame (DB00168),Vitamin A (DB00162),NADH (DB00157),Cysteine (DB00151),Lysine (DB00123)"
DB00135,Used in combination to treat,Chronic renal failure (crf),"Combination Product in combination with:Histidine (DB00117),Threonine (DB00156),Lysine (DB00123)"
DB00135,Used in combination to treat,Acute renal dysfunction,"Combination Product in combination with:Lysine (DB00123),Threonine (DB00156),Histidine (DB00117)"
DB00136,Management of,Hypocalcemia,
DB00136,Management of,Hypocalcemia,
DB00136,Management of,Mild to moderate plaque psoriasis,
DB00136,Management of,Osteodystrophy,
DB00136,Management of,Secondary hyperparathyroidism,
DB00138,Adjunct therapy in treatment of,Acne,
DB00138,Used in combination to treat,Alopecia,Combination Product in combination with:Pantothenic acid (DB01783)
DB00138,Adjunct therapy in treatment of,Atrophic dermatitis,
DB00138,Used in combination to treat,Hair damage,Combination Product in combination with:Pantothenic acid (DB01783)
DB00138,Used in combination to treat,Nail growth abnormal,Combination Product in combination with:Pantothenic acid (DB01783)
DB00140,Treatment of,Ariboflavinosis,
DB00140,Used in combination to treat,Beriberi,Combination Product in combination with:Thiamine (DB00152)
DB00140,Used in combination to manage,Constipation,Combination Product in combination with:Thiamine (DB00152)
DB00140,Used in combination to manage,Functional gastrointestinal disorders,Combination Product in combination with:Thiamine (DB00152)
DB00140,Used in combination to manage,Joint pain,Combination Product in combination with:Thiamine (DB00152)
DB00143,Treatment of,Hangover,
DB00143,Prevention of,Nerve disorders,
DB00143,Prophylaxis of,Neuropathies,
DB00145,Used in combination for prophylaxis of,Coronary vascular graft occlusion,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00145,Used in combination for prophylaxis of,Deep vein thrombosis,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00145,Used in combination to prevent,Myocardial infarction,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00145,Used in combination for prophylaxis of,Stroke,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00145,Used in combination to manage,Transient ischemic attack (tia),Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00146,Treatment of,Secondary hyperparathyroidism,
DB00146,Treatment of,Secondary hyperparathyroidism,
DB00149,Used in combination to treat,Hypoalbuminemia,"Combination Product in combination with:Isoleucine (DB00167),Valine (DB00161)"
DB00150,Used in combination for therapy,Acute renal failure (arf),"Combination Product in combination with:Leucine (DB00149),Methionine (DB00134),Isoleucine (DB00167),Threonine (DB00156),Phenylalanine (DB00120),Valine (DB00161),Histidine (DB00117),Lysine (DB00123)"
DB00150,Used in combination for therapy,Chronic renal failure (crf),"Combination Product in combination with:Leucine (DB00149),Methionine (DB00134),Isoleucine (DB00167),Valine (DB00161),Phenylalanine (DB00120),Threonine (DB00156),Lysine (DB00123),Histidine (DB00117)"
DB00150,Used as adjunct in combination for symptomatic treatment of,Depression,
DB00152,Used in combination to treat,Anemia,"Combination Product in combination with:Flavin mononucleotide (DB03247),Nicotinamide (DB02701)"
DB00152,Used in combination to treat,Anemia,"Combination Product in combination with:Flavin mononucleotide (DB03247),Nicotinamide (DB02701)"
DB00152,Used in combination to treat,Anemia,"Combination Product in combination with:Nicotinamide (DB02701),Flavin mononucleotide (DB03247)"
DB00152,Used in combination to treat,B12 deficiency anemia,"Combination Product in combination with:Flavin mononucleotide (DB03247),Nicotinamide (DB02701)"
DB00152,Treatment of,Beriberi,
DB00153,Used in combination to prevent,"Deficiency, vitamin a",Combination Product in combination with:Vitamin A (DB00162)
DB00153,Used in combination to prevent,"Deficiency, vitamin d",Combination Product in combination with:Vitamin A (DB00162)
DB00153,Treatment of,Hypoparathyroidism,
DB00153,Treatment of,"Hypophosphatemia, familial",
DB00153,Treatment of,Vitamin d resistant rickets,
DB00157,Treatment of,Macrocytic anemia,
DB00157,Prevention of,Vitamin b12 deficiency,
DB00157,Prevention of,Vitamin b12 deficiency,
DB00158,Used in combination to treat,Anaemia folate deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00158,Used in combination to prevent,Anaemia folate deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00158,Used in combination to treat,Folate deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00158,Used in combination to treat,Folate deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00158,Used in combination to treat,Folate deficiency,Combination Product in combination with:Ferrous sulfate anhydrous (DB13257)
DB00161,Used as adjunct in combination to treat,Hepatic encephalopathy (he),"Combination Product in combination with:Leucine (DB00149),Isoleucine (DB00167)"
DB00161,Used as adjunct in combination to treat,Hepatic coma,"Combination Product in combination with:Leucine (DB00149),Isoleucine (DB00167)"
DB00161,Used as adjunct in combination to treat,Hypercatabolism,"Combination Product in combination with:Isoleucine (DB00167),Leucine (DB00149)"
DB00161,Used as adjunct in combination to treat,Septic encephalopathy,"Combination Product in combination with:Leucine (DB00149),Isoleucine (DB00167)"
DB00161,Used as adjunct in combination to treat,Uremic encephalopathy,"Combination Product in combination with:Leucine (DB00149),Isoleucine (DB00167)"
DB00162,Used in combination to treat,"Deficiency, vitamin a",Combination Product in combination with:Vitamin E (DB00163)
DB00162,Used in combination to treat,"Deficiency, vitamin a",Combination Product in combination with:Fish oil (DB13961)
DB00162,Used in combination to treat,"Deficiency, vitamin d",Combination Product in combination with:Fish oil (DB13961)
DB00162,Used in combination to treat,Degenerative retinal disorders,Combination Product in combination with:D-alpha-Tocopherol acetate (DB14002)
DB00162,Used in combination to treat,Disorder of the epithelium,Combination Product in combination with:D-alpha-Tocopherol acetate (DB14002)
DB00163,Used in combination to prevent,Vitamin deficiency,
DB00165,Used in combination for symptomatic treatment of,Backache,"Combination Product in combination with:Thiamine (DB00152),Cyanocobalamin (DB00115),Acetaminophen (DB00316)"
DB00165,Used in combination for prophylaxis of,Dizziness,Combination Product in combination with:Meclizine (DB00737)
DB00165,Used in combination for symptomatic treatment of,Dizziness,Combination Product in combination with:Meclizine (DB00737)
DB00165,Used in combination for symptomatic treatment of,Dizziness,Combination Product in combination with:Meclizine (DB00737)
DB00165,Used in combination for prophylaxis of,Dizziness,Combination Product in combination with:Meclizine (DB00737)
DB00166,Used in combination for symptomatic treatment of,Diabetic neuropathies,Combination Product in combination with:Nateglinide (DB00731)
DB00166,Used in combination to manage,Type 2 diabetes mellitus,Combination Product in combination with:Nateglinide (DB00731)
DB00169,Used in combination to treat,Calcium and vitamin d deficiencies,Combination Product in combination with:Calcium carbonate (DB06724)
DB00169,Used in combination to prevent,"Deficiency, vitamin a",Combination Product in combination with:Vitamin A (DB00162)
DB00169,Used in combination to treat,"Deficiency, vitamin a",Combination Product in combination with:Vitamin A (DB00162)
DB00169,Used in combination to treat,"Deficiency, vitamin a",Combination Product in combination with:Vitamin A (DB00162)
DB00169,Used in combination to treat,"Deficiency, vitamin d",Combination Product in combination with:Vitamin A (DB00162)
DB00170,Management of,Factor ii deficiency,
DB00170,Treatment of,Vitamin b12 deficiency,
DB00171,Treatment of,Arrhythmia supraventricular,
DB00171,Treatment of,Supraventricular arrhythmias,
DB00175,Prevention of,Acute coronary events,
DB00175,Used as adjunct in combination to prevent,Cardiovascular outcome,Combination Product in combination with:Acetylsalicylic acid (DB00945)
DB00175,Prevention of,Coronary atherosclerosis,
DB00175,Prevention of,Coronary death,
DB00175,Treatment of,Dysbetalipoproteinemia,
DB00176,Treatment of,Bulimia nervosa,
DB00176,Management of,Major depressive disorder,
DB00176,Management of,Obsessive compulsive disorder (ocd),
DB00177,Used in combination to prevent,Cardiovascular death,Combination Product in combination with:Sacubitril (DB09292)
DB00177,Prevention of,Cardiovascular mortality,
DB00177,Management of,Diabetic nephropathy,
DB00177,Used in combination to treat,Heart failure,Combination Product in combination with:Sacubitril (DB09292)
DB00177,Used in combination to treat,High blood pressure (hypertension),Combination Product in combination with:Aliskiren (DB09026)
DB00178,Used in combination for prophylaxis of,Cardiovascular events,"Combination Product in combination with:Acetylsalicylic acid (DB00945),Atorvastatin (DB01076)"
DB00178,Management of,Diabetic nephropathy,
DB00178,Management of,Heart failure,
DB00178,Management of,Hypertension,
DB00178,Used in combination to manage,Hypertension,Combination Product in combination with:Felodipine (DB01023)
DB00180,Treatment of,Allergic rhinitis,
DB00180,Treatment of,Asthma,
DB00181,Treatment of,Alcohol dependency,
DB00181,Management of,Severe spasticity,
DB00181,Management of,Spasticity,
DB00181,Management of,Spasticity,
DB00181,Management of,Spasticity,
DB00182,Used in combination to manage,Attention deficit hyperactivity disorder,Combination Product in combination with:Dextroamphetamine (DB01576)
DB00182,Used in combination to manage,Attention deficit hyperactivity disorder,Combination Product in combination with:Dextroamphetamine (DB01576)
DB00182,Used in combination to manage,Attention deficit hyperactivity disorder,Combination Product in combination with:Dextroamphetamine (DB01576)
DB00182,Used in combination to manage,Attention deficit hyperactivity disorder,Combination Product in combination with:Dextroamphetamine (DB01576)
DB00182,Management of,Attention deficit hyperactivity disorder,
DB00183,Diagnostic agent,Achlorhydria,
DB00183,Diagnostic agent,Achlorhydria,
DB00183,Diagnostic agent,Achlorhydria,
DB00183,Diagnostic agent,Gastric acid suppression,
DB00183,Diagnostic agent,Gastric hypersecretion,
DB00184,Management of,Withdrawal nicotine,
DB00185,Treatment of,Dry mouth,
DB00186,Management of,Agitation,
DB00186,Treatment of,Alcohol withdrawal delirium,
DB00186,Treatment of,Alcohol withdrawal syndrome(aws),
DB00186,Symptomatic treatment of,Anxiety,
DB00186,Management of,Anxiety,
DB00187,Treatment of,High blood pressure (hypertension),
DB00187,Treatment of,Tachycardia,
DB00187,Treatment of,Abnormal ventricular rate,
DB00187,Treatment of,Abnormal ventricular rate,
DB00187,Treatment of,Abnormal ventricular rate,
DB00188,Treatment of,Mantle cell lymphoma,
DB00188,Treatment of,Multiple myeloma,
DB00190,Used in combination to manage,Parkinson's disease,Combination Product in combination with:Levodopa (DB01235)
DB00190,Used in combination to treat,Postencephalitic parkinsonism,Combination Product in combination with:Levodopa (DB01235)
DB00190,Used in combination to treat,Symptomatic parkinson disease,Combination Product in combination with:Levodopa (DB01235)
DB00190,Symptomatic treatment of,Levodopa-driven nausea and vomiting,
DB00191,Adjunct therapy in treatment of,Obesity,
DB00191,Adjunct therapy in treatment of,Obesity,
DB00191,Used in combination to manage,Obesity,Combination Product in combination with:Topiramate (DB00273)
DB00191,Used in combination to manage,Obesity,Combination Product in combination with:Topiramate (DB00273)
DB00193,Used in combination to treat,Acute pain,Combination Product in combination with:Celecoxib (DB00482)
DB00193,Used in combination to manage,Acute pain,Combination Product in combination with:Acetaminophen (DB00316)
DB00193,Treatment of,Premature ejaculation,
DB00193,Treatment of,Severe pain,
DB00193,Treatment of,Severe pain,
DB00195,Used in combination to treat,Elevated intraocular pressure,Combination Product in combination with:Pilocarpine (DB01085)
DB00195,Used in combination to treat,Elevated intraocular pressure,Combination Product in combination with:Pilocarpine (DB01085)
DB00195,Management of,Hypertension,
DB00196,Treatment of,Candida intertrigo,
DB00196,Treatment of,Candida pneumonia,
DB00196,Treatment of,Candidemia,
DB00196,Prophylaxis of,Candidiasis,
DB00196,Prophylaxis of,Candidiasis,
DB00198,Treatment of,Flu caused by influenza,
DB00198,Prophylaxis of,Flu caused by influenza,
DB00198,Prophylaxis of,Flu caused by influenza,
DB00198,Treatment of,Flu caused by influenza,
DB00198,Prophylaxis of,Flu caused by influenza,
DB00199,Used in combination to treat,Acne,Combination Product in combination with:Zinc acetate (DB14487)
DB00199,Used in combination to treat,Acne vulgaris,Combination Product in combination with:Adapalene (DB00210)
DB00199,Treatment of,Acne vulgaris,
DB00199,Used in combination to treat,Acne vulgaris,Combination Product in combination with:Benzoyl peroxide (DB09096)
DB00199,Used in combination to treat,Acute otitis media caused by haemophilus influenzae,Combination Product in combination with:Sulfisoxazole (DB00263)
DB00200,Used in combination to treat,B vitamin deficiency,"Combination Product in combination with:Lidocaine (DB00281),Pyridoxine (DB00165),Thiamine (DB00152)"
DB00200,Used in combination to treat,B vitamin deficiency,"Combination Product in combination with:Pyridoxine (DB00165),Thiamine (DB00152),Lidocaine (DB00281)"
DB00200,Used in combination to treat,B vitamin deficiency,"Combination Product in combination with:Lidocaine (DB00281),Pyridoxine (DB00165),Thiamine (DB00152)"
DB00200,Used in combination to treat,B vitamin deficiency,"Combination Product in combination with:Pyridoxine (DB00165),Lidocaine (DB00281),Thiamine (DB00152)"
DB00200,Used in combination to treat,B vitamin deficiency,"Combination Product in combination with:Thiamine (DB00152),Pyridoxine (DB00165),Lidocaine (DB00281)"
DB00201,Treatment of,Apnea of prematurity,
DB00201,Treatment of,Bronchopulmonary dysplasia (bpd),
DB00201,Prevention of,Bronchopulmonary dysplasia (bpd),
DB00201,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Acetaminophen (DB00316),Carbaspirin calcium (DB13612)"
DB00201,Used in combination for symptomatic treatment of,Common cold,"Combination Product in combination with:Phenylephrine (DB00388),Acetaminophen (DB00316),Desloratadine (DB00967)"
DB00203,Used in combination to treat,Erectile dysfunction,Combination Product in combination with:Dapoxetine (DB04884)
DB00203,Management of,Erectile dysfunction,
DB00203,Management of,Nyha functional class ii-iii pulmonary arterial hypertension,
DB00203,Used in combination to treat,Premature ejaculation,Combination Product in combination with:Dapoxetine (DB04884)
DB00203,Treatment of,Pulmonary arterial hypertension (pah),
DB00204,Maintenance of,Normal sinus rhythm,
DB00204,Maintenance of,Normal sinus rhythm,
DB00204,Management of,Symptomatic atrial fibrillation,
DB00204,Management of,Symptomatic atrial flutter,
DB00205,Used in combination to treat,Toxoplasmosis,
DB00206,Used in combination to manage,Hypertension,Combination Product in combination with:Polythiazide (DB01324)
DB00207,Treatment of,Acute bacterial sinusitis,
DB00207,Treatment of,Acute otitis media,
DB00207,Treatment of,"Acute bacterial exacerbation of copd caused by haemophilus influenza infections, moraxella catarrhalis infection, streptococcus pneumoniae infections",
DB00207,Treatment of,Bacterial conjunctivitis,
DB00207,Treatment of,Bacterial sinusitis,
DB00208,Adjunct therapy in prevention of,Stent thrombosis,
DB00208,Prevention of,Stroke,
DB00208,Prevention of,Thrombotic stroke,
DB00208,Prevention of,Thrombotic stroke,
DB00208,Adjunct therapy in prevention of,Subacute stent thrombosis,
DB00209,Management of,Overactive bladder syndrome (oabs),
