DrugBank ID,Name,Drug Groups,SMILES,Formula,Doping,Drug Categories,Target_Names,Similar Structure,State
DB00006,Bivalirudin,approved; investigational,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,C98H138N24O33,,"Amino Acids, Peptides, and Proteins, Anticoagulants, Antithrombins, Blood and Blood Forming Organs, Enzyme Inhibitors, Hematologic Agents, Peptides, Protease Inhibitors, Serine Protease Inhibitors, Thrombin Inhibitors"," Prothrombin,  Myeloperoxidase","DB00006, DB16152, DB05660, DB15231, DB11890, DB15195, DB16146, DB03632, DB12126, DB17352, DB05034, DB16687, DB05625, DB15272, DB11720, DB15366, DB15340, DB08890, DB11996, DB18283, DB06260, DB18634, DB13798, DB00035, DB13742, DB05724, DB15636, DB14806, DB09059, DB14786",
DB00007,Leuprolide,approved; investigational,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,C59H84N16O12,,"Adrenal Cortex Hormones, Agents Causing Muscle Toxicity, Amino Acids, Peptides, and Proteins, Antineoplastic Agents, Antineoplastic Agents, Hormonal, Antineoplastic and Immunomodulating Agents, Drugs causing inadvertant photosensitivity, Drugs that are Mainly Renally Excreted, Endocrine Therapy, Fertility Agents, Fertility Agents, Female, Gonadotropin Releasing Hormone Receptor Agonist, Gonadotropin Releasing Hormone Receptor Agonists, Gonadotropin-releasing hormone agonist, Gonadotropins, Hormones and Related Agents, Hyperglycemia-Associated Agents, Hypothalamic Hormones, Moderate Risk QTc-Prolonging Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptides, Photosensitizing Agents, Pituitary Hormone-Releasing Hormones, Proteins, QTc Prolonging Agents, Reproductive Control Agents", Gonadotropin-releasing hormone receptor,"DB00007, DB06825, DB11510, DB00666, DB18169, DB06719, DB00644, DB04931, DB06788, DB14027, DB05479, DB15314, DB15194, DB01284, DB13298, DB15687, DB00014, DB11724, DB13928, DB14803, DB15272, DB17938, DB12199, DB11700, DB16013, DB14786, DB06610, DB14777, DB11720, DB16146",
DB00014,Goserelin,approved,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,C59H84N18O14,,"Adrenal Cortex Hormones, Amino Acids, Peptides, and Proteins, Antineoplastic Agents, Antineoplastic Agents, Hormonal, Antineoplastic and Immunomodulating Agents, Drugs that are Mainly Renally Excreted, Endocrine Therapy, Gonadotropin Releasing Hormone Receptor Agonist, Gonadotropin Releasing Hormone Receptor Agonists, Gonadotropin-releasing hormone agonist, Gonadotropins and Antigonadotropins, Hormones, Hormones and Related Agents, Hormones, Hormone Substitutes, and Hormone Antagonists, Hyperglycemia-Associated Agents, Hypothalamic Hormones, Miscellaneous Therapeutic Agents, Moderate Risk QTc-Prolonging Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary Hormone-Releasing Hormones, QTc Prolonging Agents"," Lutropin-choriogonadotropic hormone receptor,  Gonadotropin-releasing hormone receptor","DB00014, DB06719, DB00644, DB00007, DB06825, DB11510, DB00666, DB04931, DB18169, DB13298, DB05479, DB15314, DB14027, DB01284, DB06788, DB15687, DB15194, DB14803, DB13928, DB11700, DB11724, DB11975, DB15272, DB13742, DB16146, DB01278, DB12631, DB05724, DB14786, DB06763",
DB00027,Gramicidin D,approved,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,C96H135N19O16,,"Amino Acids, Peptides, and Proteins, Anti-Bacterial Agents, Anti-Infective Agents, Anti-Infective Agents, Local, Membrane Proteins, P-glycoprotein inhibitors, P-glycoprotein substrates, Peptides, Peptides, Cyclic, Pore Forming Cytotoxic Proteins, Proteins, Throat Preparations", P-glycoprotein 1,"DB00027, DB12748, DB14777, DB12054, DB18252, DB06610, DB12777, DB17938, DB02255, DB18527, DB16013, DB04894, DB12292, DB13074, DB06791, DB17503, DB06645, DB15272, DB12088, DB14786, DB12602, DB18190, DB15494, DB17969, DB16146, DB17160, DB17278, DB18169, DB17536, DB11628",
DB00035,Desmopressin,approved,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,C46H64N14O12S2,,"Agents that produce hypertension, Amino Acids, Peptides, and Proteins, Antidiuretic Agents, Arginine Vasopressin, Cardiovascular Agents, Coagulants, Drugs that are Mainly Renally Excreted, Factor VIII Activator, Hematologic Agents, Hemostatics, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Increased Coagulation Factor VIII Activity, Increased Coagulation Factor VIII Concentration, Natriuretic Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary, Pituitary and Hypothalamic Hormones and Analogues, Pituitary Hormones, Pituitary Hormones, Posterior, Posterior Pituitary Lobe Hormones, Proteins, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins, Vasopressin Analog, Vasopressin and Analogues, Vasopressins"," Vasopressin V2 receptor,  Vasopressin V1a receptor,  Vasopressin V1b receptor,  Prostaglandin G/H synthase 2,  Prostaglandin G/H synthase 1","DB00035, DB14642, DB13798, DB00067, DB09059, DB15195, DB12495, DB08890, DB05034, DB06283, DB01278, DB05724, DB00006, DB01282, DB08861, DB15231, DB15355, DB17352, DB05660, DB03632, DB16152",
DB00050,Cetrorelix,approved; investigational,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C70H92ClN17O14,,"Amino Acids, Peptides, and Proteins, Anti-Gonadotropin-Releasing Hormones, Decreased GnRH Secretion, Fertility Agents, Fertility Agents, Female, Gonadotropin Releasing Hormone Receptor Antagonists, Gonadotropin-releasing Hormone Antagonists, Hormone Antagonists, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Hypothalamic Hormones, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary and Hypothalamic Hormones and Analogues, Pituitary Hormone-Releasing Hormones, Proteins, Reproductive Control Agents, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"," Gonadotropin-releasing hormone receptor,  Lutropin-choriogonadotropic hormone receptor","DB00050, DB12581, DB05624, DB00106, DB06785, DB11906, DB06610, DB00666, DB16013, DB17938, DB15272, DB00007, DB06825, DB11510, DB14786, DB14777, DB18169, DB16146, DB06719, DB11975, DB12777, DB06699, DB00644, DB18527, DB12199, DB00027, DB05625, DB04931, DB12054, DB17277",
DB00067,Vasopressin,approved,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,C92H130N28O24S4,,"Amino Acids, Peptides, and Proteins, Antidiuretic Agents, Arginine Vasopressin, Arginine Vasopressin, analogs & derivatives, Cardiovascular Agents, Coagulants, Decreased Diuresis, Hematologic Agents, Hemostatics, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Natriuretic Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary, Pituitary Hormones, Pituitary Hormones, Posterior, Proteins, Vasoconstriction, Vasoconstrictor Agents, Vasopressin and Analogues, Vasopressins"," Vasopressin V2 receptor,  Vasopressin V1a receptor,  Vasopressin V1b receptor,  Oxytocin receptor,  Canalicular multispecific organic anion transporter 1","DB00067, DB14642, DB00035, DB13798, DB12495, DB09059, DB15195, DB08890, DB06283, DB05034, DB01278, DB01282, DB04697",
DB00080,Daptomycin,approved; investigational,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,C72H101N17O26,,"Agents Causing Muscle Toxicity, Amino Acids, Peptides, and Proteins, Anti-Bacterial Agents, Anti-Infective Agents, Antibacterials for Systemic Use, Antiinfectives for Systemic Use, Cyclic Lipopeptides, Drugs that are Mainly Renally Excreted, Lipids, Lipopeptide Antibacterial, Lipopeptides, P-glycoprotein substrates, Peptides, Peptides, Cyclic"," Serum albumin,  Alpha-1-acid glycoprotein 1,  Alpha-1-antitrypsin,  Low-density lipoprotein receptor,  Sex hormone-binding globulin,  Hemopexin,  P-glycoprotein 1","DB00080, DB12076, DB16146, DB13928, DB15194, DB14806, DB15272, DB14027, DB15636, DB14786, DB01284, DB15687, DB13298, DB17277, DB04931, DB05479, DB15314, DB00403, DB12538, DB13742, DB06719, DB17503, DB06663, DB13345, DB17536, DB14777, DB00320, DB12292, DB12755, DB11274",
DB00091,Cyclosporine,approved; investigational; vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,,"Agents causing hyperkalemia, Agents Causing Muscle Toxicity, Agents that produce hypertension, Agents that produce neuromuscular block (indirect), Agents that reduce seizure threshold, Amino Acids, Peptides, and Proteins, Anti-Inflammatory Agents, Antirheumatic Agents, BCRP/ABCG2 Inhibitors, BSEP/ABCB11 Inhibitors, BSEP/ABCB11 Substrates, BSEP/ABCB11 Substrates with a Narrow Therapeutic Index, Calcineurin Inhibitor Immunosuppressant, Calcineurin Inhibitors, Cyclosporins, Cytochrome P-450 CYP2C19 Inhibitors, Cytochrome P-450 CYP2C19 inhibitors (strength unknown), Cytochrome P-450 CYP2D6 Inhibitors, Cytochrome P-450 CYP2D6 Inhibitors (moderate), Cytochrome P-450 CYP3A Inhibitors, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inhibitors, Cytochrome P-450 CYP3A4 Inhibitors (moderate), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index, Cytochrome P-450 CYP3A5 Substrates, Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index, Cytochrome P-450 Enzyme Inhibitors, Cytochrome P-450 Substrates, Dermatologicals, Enzyme Inhibitors, Immunologic Factors, Immunosuppressive Agents, Narrow Therapeutic Index Drugs, Nephrotoxic agents, Neurotoxic agents, NTCP Inhibitors, OAT1/SLC22A6 inhibitors, OAT1/SLC22A6 Substrates, OATP1B1/SLCO1B1 Inhibitors, OATP1B1/SLCO1B1 Substrates, OATP1B3 inhibitors, Ophthalmologicals, P-glycoprotein inhibitors, P-glycoprotein substrates, P-glycoprotein substrates with a Narrow Therapeutic Index, Peptides, Peptides, Cyclic"," Calcium signal-modulating cyclophilin ligand,  Calcineurin subunit B type 2,  Peptidyl-prolyl cis-trans isomerase A,  Peptidyl-prolyl cis-trans isomerase F, mitochondrial,  Cytochrome P450 2C19,  Cytochrome P450 2D6,  Cytochrome P450 3A5,  Cytochrome P450 3A4,  P-glycoprotein 1,  Bile salt export pump,  Ileal sodium/bile acid cotransporter,  Sodium/bile acid cotransporter,  Solute carrier family 22 member 6,  Multidrug resistance-associated protein 7,  Canalicular multispecific organic anion transporter 1,  ATP-binding cassette sub-family G member 2,  Solute carrier organic anion transporter family member 1B1, 10. Solute carrier organic anion transporter family member 1B3","DB00091, DB12139, DB13068, DB11693, DB18246, DB11869, DB00803, DB11801, DB05434",
DB00106,Abarelix,approved; investigational; withdrawn,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,C72H95ClN14O14,,"Amino Acids, Peptides, and Proteins, Antineoplastic and Immunomodulating Agents, Endocrine Therapy, Hormone Antagonists, Hormone Antagonists and Related Agents, Hormones, Hormone Substitutes, and Hormone Antagonists, Peptides", Gonadotropin-releasing hormone receptor,"DB00106, DB05624, DB00050, DB12581, DB06785, DB11906, DB14777, DB18527, DB06699, DB16146, DB12777, DB15272, DB06610, DB16013, DB17938, DB18169, DB09099, DB14806, DB17503, DB00666, DB06791, DB11628, DB12054, DB11975, DB14786, DB18252, DB00027, DB00007, DB06825, DB11510",
