DrugBank ID,Water Solubility,logP,logS,pKa (Strongest Acidic),pKa (Strongest Basic),Physiological Charge,Hydrogen Acceptor Count,Hydrogen Donor Count,Polar Surface Area,Rotatable Bond Count,Refractivity,Polarizability,Number of Rings,Bioavailability,Rule of Five,Ghose Filter,Veber's Rule,MDDR-like Rule,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00014,0.0283 mg/mL,-5.1,-4.6,9.36,10.91,1,18,17,495.89 Å2,33,325.84 m3·mol-1,130.74 Å3,6,0,No,No,No,Yes,+,0.9771,-,0.8816,-,0.7772,Substrate,0.9016,Non-inhibitor,0.5834,Non-inhibitor,0.8342,Non-inhibitor,0.7673,Non-substrate,0.7534,Non-substrate,0.7806,Substrate,0.6353,Non-inhibitor,0.8265,Non-inhibitor,0.7506,Non-inhibitor,0.8835,Non-inhibitor,0.7254,Non-inhibitor,0.6347,Low CYP Inhibitory Promiscuity,0.9054,Non AMES toxic,0.5851,Non-carcinogens,0.6406,Not ready biodegradable,1.0,"2.6730 LD50, mol/kg",Not applicable,Weak inhibitor,0.8841,Inhibitor,0.5249
DB00035,0.11 mg/mL,-6.1,-4,9.5,11.77,1,15,14,435.41 Å2,19,279.78 m3·mol-1,104.78 Å3,4,0,No,No,No,Yes,+,0.7979,-,0.8866,-,0.7612,Substrate,0.8242,Non-inhibitor,0.7864,Non-inhibitor,0.9237,Non-inhibitor,0.5915,Non-substrate,0.7833,Non-substrate,0.7901,Non-substrate,0.5497,Non-inhibitor,0.8383,Non-inhibitor,0.7906,Non-inhibitor,0.8735,Non-inhibitor,0.765,Non-inhibitor,0.7663,Low CYP Inhibitory Promiscuity,0.9331,Non AMES toxic,0.6679,Non-carcinogens,0.8428,Not ready biodegradable,0.9445,"2.7183 LD50, mol/kg",Not applicable,Weak inhibitor,0.83,Inhibitor,0.6036
DB11323,3.8 mg/mL,1.63,-1.7,9.72,-2.8,0,3,2,66.76 Å2,4,46.36 m3·mol-1,18.04 Å3,1,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07447,0.00998 mg/mL,3.41,-4.5,19.38,-0.88,0,2,1,37.3 Å2,0,83.6 m3·mol-1,34.62 Å3,4,1,Yes,Yes,Yes,No,+,1.0,+,0.9818,+,0.8846,Substrate,0.57,Non-inhibitor,0.5631,Non-inhibitor,0.846,Non-inhibitor,0.7884,Non-substrate,0.7715,Non-substrate,0.93,Substrate,0.7314,Non-inhibitor,0.6853,Non-inhibitor,0.9071,Non-inhibitor,0.971,Non-inhibitor,0.9025,Non-inhibitor,0.8546,Low CYP Inhibitory Promiscuity,0.9647,Non AMES toxic,0.9414,Non-carcinogens,0.9182,Not ready biodegradable,0.9686,"1.9757 LD50, mol/kg",Not applicable,Weak inhibitor,0.9444,Non-inhibitor,0.576
DB13758,2.9 mg/mL,2.06,-2,,8.42,1,3,0,38.77 Å2,7,66.2 m3·mol-1,26.87 Å3,1,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07467,0.0342 mg/mL,2.64,-4,8.85,0.097,0,4,2,92.5 Å2,3,103.31 m3·mol-1,35.95 Å3,3,1,Yes,Yes,No,No,+,1.0,+,0.8868,-,0.5529,Non-substrate,0.6859,Non-inhibitor,0.9158,Non-inhibitor,0.9179,Non-inhibitor,0.8575,Non-substrate,0.5265,Non-substrate,0.7924,Non-substrate,0.519,Inhibitor,0.582,Non-inhibitor,0.5775,Non-inhibitor,0.8151,Non-inhibitor,0.6572,Non-inhibitor,0.8309,High CYP Inhibitory Promiscuity,0.7471,Non AMES toxic,0.6869,Non-carcinogens,0.7674,Not ready biodegradable,0.9862,"2.0823 LD50, mol/kg",Not applicable,Weak inhibitor,0.986,Non-inhibitor,0.8804
DB02327,336.0 mg/mL,-1.3,0.35,14.82,-2.7,0,4,2,58.92 Å2,7,36.64 m3·mol-1,16.45 Å3,0,1,Yes,No,No,No,+,0.8022,+,0.7177,-,0.6047,Non-substrate,0.5512,Non-inhibitor,0.871,Non-inhibitor,0.5686,Non-inhibitor,0.8556,Non-substrate,0.855,Non-substrate,0.8718,Non-substrate,0.7379,Non-inhibitor,0.9373,Non-inhibitor,0.9171,Non-inhibitor,0.9671,Non-inhibitor,0.9138,Non-inhibitor,0.9509,Low CYP Inhibitory Promiscuity,0.9547,Non AMES toxic,0.8251,Non-carcinogens,0.7438,Ready biodegradable,0.6178,"0.9772 LD50, mol/kg",Not applicable,Weak inhibitor,0.8496,Non-inhibitor,0.8278
DB17692,,1.3,,,,1,5,3,108.73 Å2,9,107.34 m3·mol-1,43.14 Å3,4,1,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13802,79.2 mg/mL,0.2,-0.37,13.61,-3.3,0,3,2,49.69 Å2,0,48.58 m3·mol-1,20.2 Å3,2,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13805,0.182 mg/mL,1.58,-3.2,7.14,,0,3,2,75.27 Å2,2,68.95 m3·mol-1,26.76 Å3,3,1,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00180,0.0374 mg/mL,1.56,-4.1,13.73,-2.9,0,6,2,93.06 Å2,2,111.89 m3·mol-1,44.67 Å3,5,1,Yes,Yes,No,No,+,0.9865,+,0.9683,+,0.5,Substrate,0.7912,Non-inhibitor,0.5674,Non-inhibitor,0.8383,Non-inhibitor,0.8304,Non-substrate,0.8679,Non-substrate,0.8856,Substrate,0.6964,Non-inhibitor,0.9327,Non-inhibitor,0.9394,Non-inhibitor,0.9559,Non-inhibitor,0.9311,Non-inhibitor,0.8309,Low CYP Inhibitory Promiscuity,0.8806,Non AMES toxic,0.7682,Non-carcinogens,0.9174,Not ready biodegradable,1.0,"2.7033 LD50, mol/kg",Not applicable,Weak inhibitor,0.9838,Non-inhibitor,0.671
DB00187,0.144 mg/mL,1.82,-3.3,14.09,9.67,1,4,2,67.79 Å2,10,81.05 m3·mol-1,33.68 Å3,1,1,Yes,Yes,No,No,+,0.7023,-,0.9645,+,0.5,Substrate,0.6511,Non-inhibitor,0.8625,Non-inhibitor,0.7171,Non-inhibitor,0.8605,Non-substrate,0.8124,Substrate,0.663,Non-substrate,0.5869,Non-inhibitor,0.864,Non-inhibitor,0.8789,Non-inhibitor,0.8806,Non-inhibitor,0.9585,Non-inhibitor,0.8495,Low CYP Inhibitory Promiscuity,0.9761,Non AMES toxic,0.9066,Non-carcinogens,0.9519,Not ready biodegradable,0.6493,"1.9194 LD50, mol/kg",Not applicable,Weak inhibitor,0.9556,Non-inhibitor,0.774
DB13827,0.563 mg/mL,2.28,-2.6,,9.93,1,3,2,36.42 Å2,1,62.36 m3·mol-1,23.08 Å3,3,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB17818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB00191,0.757 mg/mL,2.08,-2.3,,10.25,1,1,1,26.02 Å2,2,48.34 m3·mol-1,17.87 Å3,1,1,Yes,No,Yes,No,+,0.9964,+,0.959,+,0.7688,Non-substrate,0.6477,Non-inhibitor,0.934,Non-inhibitor,0.9801,Non-inhibitor,0.8236,Non-substrate,0.8411,Substrate,0.7204,Non-substrate,0.6493,Non-inhibitor,0.7962,Non-inhibitor,0.8861,Inhibitor,0.7825,Non-inhibitor,0.8996,Non-inhibitor,0.7348,Low CYP Inhibitory Promiscuity,0.8782,Non AMES toxic,0.9681,Non-carcinogens,0.6949,Not ready biodegradable,0.9303,"2.8400 LD50, mol/kg",Not applicable,Weak inhibitor,0.9867,Non-inhibitor,0.8734
DB00193,0.75 mg/mL,2.45,-2.6,13.8,9.23,1,3,1,32.7 Å2,4,78.27 m3·mol-1,30.51 Å3,2,1,Yes,Yes,Yes,No,+,0.9924,+,0.9382,+,0.8866,Substrate,0.6283,Inhibitor,0.7807,Inhibitor,0.9589,Non-inhibitor,0.6398,Non-substrate,0.7678,Substrate,0.8919,Substrate,0.7726,Non-inhibitor,0.7136,Non-inhibitor,0.704,Inhibitor,0.6566,Non-inhibitor,0.6841,Non-inhibitor,0.6256,Low CYP Inhibitory Promiscuity,0.7832,Non AMES toxic,0.7899,Non-carcinogens,0.6663,Not ready biodegradable,0.9975,"3.0316 LD50, mol/kg",Not applicable,Weak inhibitor,0.6136,Inhibitor,0.7098
DB11429,0.0194 mg/mL,3.63,-4.2,18.34,-0.53,0,2,1,37.3 Å2,0,89.14 m3·mol-1,35.86 Å3,4,1,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
