DrugBank ID,Description,Kingdom,Super Class,Class,Sub Class,Direct Parent,Alternative Parents,Substituents,Molecular Framework,External Descriptors
DB00014,This compound belongs to the class of organic compounds known as oligopeptides. These are organic compounds containing a sequence of between three and ten alpha-amino acids joined by peptide bonds.,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Oligopeptides,"['Tyrosine and derivatives', 'Phenylalanine and derivatives', 'Histidine and derivatives', 'Leucine and derivatives', 'Proline and derivatives', 'N-acyl-alpha amino acids and derivatives', 'Tryptamines and derivatives', 'Serine and derivatives', 'Alpha amino acid amides', '3-alkylindoles', 'Amphetamines and derivatives', 'Pyrrolidinecarboxamides', 'N-acylpyrrolidines', '1-hydroxy-2-unsubstituted benzenoids', 'Substituted pyrroles', 'Pyrrolidine-2-ones', 'N-acyl amines', 'Semicarbazides', 'Imidazoles', 'Hydrazinecarboxamides', 'Tertiary carboxylic acid amides', 'Heteroaromatic compounds', 'Organic carbonic acids and derivatives', 'Secondary carboxylic acid amides', 'Lactams', 'Carboxylic acid hydrazides', 'Guanidines', 'Propargyl-type 1,3-dipolar organic compounds', 'Azacyclic compounds', 'Carboximidamides', 'Dialkyl ethers', 'Primary alcohols', 'Carbonyl compounds', 'Organopnictogen compounds', 'Hydrocarbon derivatives', 'Organic oxides']","['1-hydroxy-2-unsubstituted benzenoid', '2-pyrrolidone', '3-alkylindole', 'Alcohol', 'Alpha-amino acid amide', 'Alpha-amino acid or derivatives', 'Alpha-oligopeptide', 'Amphetamine or derivatives', 'Aromatic heteropolycyclic compound', 'Azacycle', 'Azole', 'Benzenoid', 'Carbonic acid derivative', 'Carbonyl group', 'Carboxamide group', 'Carboximidamide', 'Carboxylic acid hydrazide', 'Dialkyl ether', 'Ether', 'Fatty acyl', 'Fatty amide', 'Guanidine', 'Heteroaromatic compound', 'Histidine or derivatives', 'Hydrazinecarboxamide', 'Hydrocarbon derivative', 'Imidazole', 'Indole', 'Indole or derivatives', 'Lactam', 'Leucine or derivatives', 'Monocyclic benzene moiety', 'N-acyl-alpha amino acid or derivatives', 'N-acyl-amine', 'N-acylpyrrolidine', 'N-substituted-alpha-amino acid', 'Organic 1,3-dipolar compound', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol', 'Phenylalanine or derivatives', 'Primary alcohol', 'Proline or derivatives', 'Propargyl-type 1,3-dipolar organic compound', 'Pyrrole', 'Pyrrolidine', 'Pyrrolidine carboxylic acid or derivatives', 'Pyrrolidine-2-carboxamide', 'Pyrrolidone', 'Secondary carboxylic acid amide', 'Semicarbazide', 'Serine or derivatives', 'Substituted pyrrole', 'Tertiary carboxylic acid amide', 'Triptan', 'Tyrosine or derivatives']",Aromatic heteropolycyclic compounds,Not Available
DB00035,,,,,,,,,,
DB11323,This compound belongs to the class of organic compounds known as o-hydroxybenzoic acid esters. These are benzoic acid esters where the benzene ring is ortho-substituted with a hydroxy group.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,o-Hydroxybenzoic acid esters,"['Salicylic acid and derivatives', 'Benzoyl derivatives', '1-hydroxy-4-unsubstituted benzenoids', '1-hydroxy-2-unsubstituted benzenoids', 'Vinylogous acids', 'Carboxylic acid esters', 'Monocarboxylic acids and derivatives', 'Primary alcohols', 'Organic oxides', 'Hydrocarbon derivatives']","['1-hydroxy-2-unsubstituted benzenoid', '1-hydroxy-4-unsubstituted benzenoid', 'Alcohol', 'Aromatic homomonocyclic compound', 'Benzoyl', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Hydrocarbon derivative', 'Monocarboxylic acid or derivatives', 'O-hydroxybenzoic acid ester']",Aromatic homomonocyclic compounds,"phenols, salicylates, primary alcohol, benzoate ester (CHEBI:86541)"
DB07447,This compound belongs to the class of organic compounds known as androgens and derivatives. These are 3-hydroxylated C19 steroid hormones. They are known to favor the development of masculine characteristics. They also show profound effects on scalp and body hair in humans.,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,Androgens and derivatives,"['3-oxo-5-beta-steroids', '17-hydroxysteroids', 'Secondary alcohols', 'Cyclic ketones', 'Cyclic alcohols and derivatives', 'Organic oxides', 'Hydrocarbon derivatives']","['17-hydroxysteroid', '3-oxo-5-beta-steroid', '3-oxosteroid', 'Alcohol', 'Aliphatic homopolycyclic compound', 'Androgen-skeleton', 'Carbonyl group', 'Cyclic alcohol', 'Cyclic ketone', 'Hydrocarbon derivative']",Aliphatic homopolycyclic compounds,"3-hydroxy steroid, 17beta-hydroxyandrostan-3-one (CHEBI:2150)  / C19 steroids (androgens) and derivatives (C05293)  / C19 steroids (androgens) and derivatives (LMST02020069)"
DB13758,This compound belongs to the class of organic compounds known as phenoxyacetic acid derivatives. These are compounds containing an anisole where the methane group is linked to an acetic acid or a derivative.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenoxyacetic acid derivatives,Phenoxyacetic acid derivatives,"['Phenoxy compounds', 'Phenol ethers', 'Chlorobenzenes', 'Alkyl aryl ethers', 'Aryl chlorides', 'Trialkylamines', 'Carboxylic acid esters', 'Amino acids and derivatives', 'Monocarboxylic acids and derivatives', 'Organopnictogen compounds', 'Organochlorides', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['Alkyl aryl ether', 'Amine', 'Amino acid or derivatives', 'Aromatic homomonocyclic compound', 'Aryl chloride', 'Aryl halide', 'Carbonyl group', 'Carboxylic acid derivative', 'Carboxylic acid ester', 'Chlorobenzene', 'Ether', 'Halobenzene', 'Hydrocarbon derivative', 'Monocarboxylic acid or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organochloride', 'Organohalogen compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Phenol ether', 'Phenoxy compound', 'Phenoxyacetate', 'Tertiary aliphatic amine', 'Tertiary amine']",Aromatic homomonocyclic compounds,monocarboxylic acid (CHEBI:6712)
DB07467,This compound belongs to the class of organic compounds known as benzenesulfonamides. These are organic compounds containing a sulfonamide group that is S-linked to a benzene ring.,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonamides,Benzenesulfonamides,"['4-halobenzoic acids and derivatives', 'Benzenesulfonyl compounds', 'Indoles and derivatives', 'Benzoyl derivatives', 'Chlorobenzenes', 'Organosulfonamides', 'Aryl chlorides', 'Aminosulfonyl compounds', 'Carboxylic acid hydrazides', 'Azacyclic compounds', 'Hydrocarbon derivatives', 'Organic oxides', 'Organochlorides', 'Organonitrogen compounds', 'Organooxygen compounds', 'Organopnictogen compounds']","['4-halobenzoic acid or derivatives', 'Aminosulfonyl compound', 'Aromatic heteropolycyclic compound', 'Aryl chloride', 'Aryl halide', 'Azacycle', 'Benzenesulfonamide', 'Benzenesulfonyl group', 'Benzoic acid or derivatives', 'Benzoyl', 'Carboxylic acid derivative', 'Carboxylic acid hydrazide', 'Chlorobenzene', 'Halobenzene', 'Halobenzoic acid or derivatives', 'Hydrocarbon derivative', 'Indole or derivatives', 'Organic nitrogen compound', 'Organic oxide', 'Organic oxygen compound', 'Organic sulfonic acid or derivatives', 'Organochloride', 'Organohalogen compound', 'Organoheterocyclic compound', 'Organonitrogen compound', 'Organooxygen compound', 'Organopnictogen compound', 'Organosulfonic acid amide', 'Organosulfonic acid or derivatives', 'Organosulfur compound', 'Sulfonyl']",Aromatic heteropolycyclic compounds,Not Available
DB02327,"This compound belongs to the class of organic compounds known as polyethylene glycols. These are oligomers or polymers of ethylene oxide, with the general formula (C2H4O)n (with n>=3).",Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Polyethylene glycols,"['Primary alcohols', 'Hydrocarbon derivatives']","['Alcohol', 'Aliphatic acyclic compound', 'Hydrocarbon derivative', 'Polyethylene glycol', 'Primary alcohol']",Aliphatic acyclic compounds,"primary alcohol, diol, poly(ethylene glycol) (CHEBI:44926)"
DB17692,,,,,,,,,,
DB13802,"This compound belongs to the class of organic compounds known as oxanes. These are compounds containing an oxane (tetrahydropyran) ring, which is a six-member saturated aliphatic heterocycle with one oxygen atom and five carbon atoms.",Organic compounds,Organoheterocyclic compounds,Oxanes,Not Available,Oxanes,"['Secondary alcohols', 'Cyclic alcohols and derivatives', 'Oxacyclic compounds', 'Dialkyl ethers', 'Hydrocarbon derivatives']","['Alcohol', 'Aliphatic heteropolycyclic compound', 'Cyclic alcohol', 'Dialkyl ether', 'Ether', 'Hydrocarbon derivative', 'Organic oxygen compound', 'Organooxygen compound', 'Oxacycle', 'Oxane']",Aliphatic heteropolycyclic compounds,Not Available
DB13805,"This compound belongs to the class of organic compounds known as barbituric acid derivatives. These are compounds containing a perhydropyrimidine ring substituted at C-2, -4 and -6 by oxo groups.",Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Barbituric acid derivatives,"['N-acyl ureas', 'Diazinanes', 'Dicarboximides', 'Azacyclic compounds', 'Organopnictogen compounds', 'Organonitrogen compounds', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['1,3-diazinane', 'Aliphatic heteropolycyclic compound', 'Azacycle', 'Barbiturate', 'Carbonic acid derivative', 'Carbonyl group', 'Carboxylic acid derivative', 'Dicarboximide', 'Hydrocarbon derivative', 'N-acyl urea']",Aliphatic heteropolycyclic compounds,Not Available
