DrugBank ID,Name,Drug Groups,SMILES,Formula,Doping,Drug Categories,Target_Names,Similar Structure,State
DB00014,Goserelin,approved,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,C59H84N18O14,1,"Adrenal Cortex Hormones, Amino Acids, Peptides, and Proteins, Antineoplastic Agents, Antineoplastic Agents, Hormonal, Antineoplastic and Immunomodulating Agents, Drugs that are Mainly Renally Excreted, Endocrine Therapy, Gonadotropin Releasing Hormone Receptor Agonist, Gonadotropin Releasing Hormone Receptor Agonists, Gonadotropin-releasing hormone agonist, Gonadotropins and Antigonadotropins, Hormones, Hormones and Related Agents, Hormones, Hormone Substitutes, and Hormone Antagonists, Hyperglycemia-Associated Agents, Hypothalamic Hormones, Miscellaneous Therapeutic Agents, Moderate Risk QTc-Prolonging Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary Hormone-Releasing Hormones, QTc Prolonging Agents"," Lutropin-choriogonadotropic hormone receptor,  Gonadotropin-releasing hormone receptor","DB00014, DB06719, DB00644, DB00007, DB06825, DB11510, DB00666, DB04931, DB18169, DB13298, DB05479, DB15314, DB14027, DB01284, DB06788, DB15687, DB15194, DB14803, DB13928, DB11700, DB11724, DB11975, DB15272, DB13742, DB16146, DB01278, DB12631, DB05724, DB14786, DB06763",Solid
DB00035,Desmopressin,approved,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,C46H64N14O12S2,1,"Agents that produce hypertension, Amino Acids, Peptides, and Proteins, Antidiuretic Agents, Arginine Vasopressin, Cardiovascular Agents, Coagulants, Drugs that are Mainly Renally Excreted, Factor VIII Activator, Hematologic Agents, Hemostatics, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Increased Coagulation Factor VIII Activity, Increased Coagulation Factor VIII Concentration, Natriuretic Agents, Nerve Tissue Proteins, Neuropeptides, Oligopeptides, Peptide Hormones, Peptides, Pituitary, Pituitary and Hypothalamic Hormones and Analogues, Pituitary Hormones, Pituitary Hormones, Posterior, Posterior Pituitary Lobe Hormones, Proteins, Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins, Vasopressin Analog, Vasopressin and Analogues, Vasopressins"," Vasopressin V2 receptor,  Vasopressin V1a receptor,  Vasopressin V1b receptor,  Prostaglandin G/H synthase 2,  Prostaglandin G/H synthase 1","DB00035, DB14642, DB13798, DB00067, DB09059, DB15195, DB12495, DB08890, DB05034, DB06283, DB01278, DB05724, DB00006, DB01282, DB08861, DB15231, DB15355, DB17352, DB05660, DB03632, DB16152",Solid
DB11323,Glycol salicylate,approved,OCCOC(=O)C1=CC=CC=C1O,C9H10O4,1,"Acids, Carbocyclic, Anti-Inflammatory Agents, Anti-Inflammatory Agents, Non-Steroidal, Benzene Derivatives, Benzoates, Hydroxy Acids, Hydroxybenzoates, Phenols"," Prostaglandin G/H synthase 1,  Prostaglandin G/H synthase 2","DB11323, DB15576, DB09543, DB13628, DB11062",Liquid
DB07447,5beta-dihydrotestosterone,experimental,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,C19H30O2,1,Testosterone and derivatives, 3-oxo-5-beta-steroid 4-dehydrogenase,"DB02901, DB07447, DB13587, DB00858, DB02854, DB05087, DB11859, DB12308, DB12972, DB11371, DB06622, DB08956, DB16260, DB03619, DB01586, DB02659, DB05990, DB06777, DB02817, DB11789, DB11622, DB18044, DB01479, DB01513, DB01530, DB03882, DB03926, DB16870, DB01561, DB04693",Not Available
DB13758,Meclofenoxate,experimental,CN(C)CCOC(=O)COC1=CC=C(Cl)C=C1,C12H16ClNO3,1,"Acetates, Acids, Acyclic, Central Nervous System Agents, Compounds used in a research, industrial, or household setting, Glycolates, Hydroxy Acids, Nervous System, Neuroprotective Agents, Nootropic Agents, Phenoxyacetates, Protective Agents, Psychoanaleptics, Psychostimulants, Agents Used for ADHD and Nootropics",,DB13758,State information not found
DB07467,(S)-Indapamide,experimental,C[C@H]1CC2=C(C=CC=C2)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,C16H16ClN3O3S,1,, Carbonic anhydrase 2,"DB00808, DB07467",Not Available
DB02327,Triethylene glycol,experimental,OCCOCCOCCO,C6H14O4,1,"Alcohols, Compounds used in a research, industrial, or household setting, Ethylene Glycols, Glycols, Macromolecular Substances, Polymers"," Acetolactate synthase, catabolic,  Arabinogalactan endo-1,4-beta-galactosidase,  Phosphoserine aminotransferase","DB02042, DB02078, DB02327, DB02343, DB02580, DB03394, DB03508, DB03556, DB04332, DB06867, DB07344, DB08357, DB14000, DB02935",Not Available
DB17692,Vamifeport,investigational,FC1=CC=CN=C1CNC(=O)C1=COC(CCNCCC2=NC3=CC=CC=C3N2)=N1,C21H21FN6O2,1,"Heterocyclic Compounds, Fused-Ring",,DB17692,State information not found
DB13802,Epomediol,experimental,CC1(C)O[C@@]2(C)[C@@H](O)C[C@@H]1C[C@H]2O,C10H18O3,1,"Alimentary Tract and Metabolism, Bile and Liver Therapy, Cholagogues and Choleretics, Gastrointestinal Agents, Liver Therapy, Liver Therapy, Lipotropics",,"DB13802, DB02394, DB03852, DB11174, DB13121",State information not found
DB13805,Reposal,experimental,CCC1(C(=O)NC(=O)NC1=O)C1=CC2CCC(C2)C1,C14H18N2O3,1,"Amines, Barbiturates, Plain, Benzene Derivatives, Central Nervous System Depressants, Enzyme Inhibitors, Hydroxy Acids, Hydroxylamines, Hypnotics and Sedatives, Nervous System, Psycholeptics",,"DB13805, DB01354, DB13737, DB01355, DB13377",State information not found
DB00180,Flunisolide,approved; investigational,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,C24H31FO6,1,"Adrenal Cortex Hormones, Adrenals, Agents to Treat Airway Disease, Anti-Asthmatic Agents, Anti-Inflammatory Agents, Corticosteroid Hormone Receptor Agonists, Corticosteroids, Corticosteroids for Systemic Use, Cytochrome P-450 CYP3A Inducers, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Inducers, Cytochrome P-450 CYP3A4 Inducers (strength unknown), Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Enzyme Inducers, Cytochrome P-450 Substrates, Drugs for Obstructive Airway Diseases, Fused-Ring Compounds, Immunosuppressive Agents, Nasal Preparations, Pregnadienes, Pregnanes, Respiratory System Agents, Steroids, Steroids, Fluorinated"," Glucocorticoid receptor,  Cytochrome P450 3A4,  Corticosteroid-binding globulin","DB00180, DB14662, DB00591, DB01047, DB18738, DB00846, DB01260, DB08973, DB14673, DB01222, DB00288, DB01410, DB14637, DB14657, DB15835, DB15777, DB15821, DB06786, DB06781, DB01384, DB09378, DB14664, DB12553, DB01130, DB08971, DB14652, DB13223, DB12322, DB00223, DB00663",Solid
DB00187,Esmolol,approved; withdrawn,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,C16H25NO4,1,"Adrenergic Agents, Adrenergic Antagonists, Adrenergic beta-1 Receptor Antagonists, Adrenergic beta-Antagonists, Agents causing hyperkalemia, Alcohols, Amines, Amino Alcohols, Antiarrhythmic agents, Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Beta Blocking Agents, Selective, Beta-Blockers (Beta1 Selective), Bradycardia-Causing Agents, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 Substrates, Hypotensive Agents, Neurotransmitter Agents, Potential QTc-Prolonging Agents, Propanols, QTc Prolonging Agents"," Beta-1 adrenergic receptor,  Cytochrome P450 2D6","DB00187, DB00264, DB00335, DB06987, DB13443",Solid
DB13827,Indanazoline,experimental,C1CC2=C(C1)C(NC1=NCCN1)=CC=C2,C12H15N3,1,"Nasal Preparations, Sympathomimetics, Plain",,"DB13827, DB13064",State information not found
DB17818,Dextran 1,investigational,,,1,"Biopolymers, Carbohydrates, Glucans, Macromolecular Substances, Polymers, Polysaccharides",,,State information not found
DB00191,Phentermine,approved; illicit,CC(C)(N)CC1=CC=CC=C1,C10H15N,1,"Adrenergic Agents, Agents producing tachycardia, Agents that produce hypertension, Alimentary Tract and Metabolism, Amines, Amphetamines, Anti-Obesity Agents, Antiobesity Preparations, Excl. Diet Products, Appetite Depressants, Appetite Suppression, Autonomic Agents, Central Nervous System Agents, Centrally Acting Antiobesity Products, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 CYP3A4 Substrates (strength unknown), Cytochrome P-450 Substrates, Increased Sympathetic Activity, Monoamine Oxidase A Inhibitors for interaction with Monoamine Oxidase A substrates, Neurotransmitter Agents, Peripheral Nervous System Agents, Phenethylamines, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Sympathomimetic Amine Anorectic, Sympathomimetics"," Sodium-dependent noradrenaline transporter,  Sodium-dependent serotonin transporter,  Sodium-dependent dopamine transporter,  Amine oxidase [flavin-containing] A,  Amine oxidase [flavin-containing] B,  Pro-neuropeptide Y,  Cytochrome P450 3A4","DB00191, DB00182, DB01576, DB01365, DB02972, DB09250, DB01577, DB09571, DB01556, DB04484, DB00752, DB02665, DB13285",Solid
DB00193,Tramadol,approved; investigational,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,C16H25NO2,1,"Agents producing tachycardia, Agents that reduce seizure threshold, Alcohols, Amines, Analgesics, Anticholinergic Agents, Antidepressive Agents, Central Nervous System Agents, Central Nervous System Depressants, Combined Inhibitors of Serotonin/Norepinephrine Reuptake, Cyclohexanes, Cyclohexanols, Cycloparaffins, Cytochrome P-450 CYP2B6 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 CYP3A Substrates, Cytochrome P-450 CYP3A4 Substrates, Cytochrome P-450 Substrates, Dimethylamines, Drugs that are Mainly Renally Excreted, Muscarinic Antagonists, Narcotics, Nervous System, NMDA Receptor Antagonists, Opiate Agonists, Opioid Agonist, Opioids, Peripheral Nervous System Agents, Sensory System Agents, Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome, Serotonin 5-HT2 Receptor Antagonists, Serotonin 5-HT2C Receptor Antagonists, Serotonin Agents, Serotonin Modulators, Serotonin Receptor Antagonists, UGT1A1 Substrates"," Mu-type opioid receptor,  Sodium-dependent noradrenaline transporter,  Sodium-dependent serotonin transporter,  Sodium channel protein type 2 subunit alpha,  NMDA receptor (Protein Group),  Adenosine receptor A1,  Alpha-2 adrenergic receptors (Protein Group),  5-hydroxytryptamine receptor 2C,  Kappa-type opioid receptor, 10. Delta-type opioid receptor, 11. Neuronal acetylcholine receptor subunit alpha-7, 12. Muscarinic acetylcholine receptor M3, 13. Muscarinic acetylcholine receptor M1, 14. Neurokinin 1 receptor, 15. Transient receptor potential cation channel subfamily V member 1,  Cytochrome P450 2B6,  UDP-glucuronosyltransferase 1-1,  Cytochrome P450 2D6,  Cytochrome P450 3A4","DB00193, DB16100, DB00505, DB00376, DB00387, DB00942",Solid
DB11429,Mibolerone,vet_approved,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3C[C@@H](C)[C@@]21[H],C20H30O2,1,"Estranes, Estrenes, Fused-Ring Compounds, Gonadal Hormones, Gonadal Steroid Hormones, Hormones, Hormones, Hormone Substitutes, and Hormone Antagonists, Steroids, Testosterone and derivatives, Testosterone Congeners", Androgen receptor,"DB00624, DB01471, DB01543, DB01564, DB05830, DB06710, DB07768, DB11429, DB12787, DB13169, DB13533, DB14093, DB13710, DB13230, DB14570, DB01481, DB01572, DB00253, DB18000, DB00367, DB00717, DB09389, DB14584, DB04652, DB01485, DB01500, DB01540, DB04630, DB00741, DB13089",State information not found
DB00195,Betaxolol,approved; investigational,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,C18H29NO3,1,"Adrenergic Agents, Adrenergic Antagonists, Adrenergic beta-1 Receptor Antagonists, Adrenergic beta-Antagonists, Agents causing hyperkalemia, Alcohols, Amines, Amino Alcohols, Antiarrhythmic agents, Antiglaucoma Preparations and Miotics, Antihypertensive Agents, Antihypertensive Agents Indicated for Hypertension, Autonomic Agents, Beta Blocking Agents, Selective, Beta-adrenergic Agents, Beta-Blockers (Beta1 Selective), Bradycardia-Causing Agents, Cardiovascular Agents, Cytochrome P-450 CYP1A2 Substrates, Cytochrome P-450 CYP2D6 Substrates, Cytochrome P-450 Substrates, Hypotensive Agents, Neurotransmitter Agents, Ophthalmologicals, Peripheral Nervous System Agents, Phenoxypropanolamines, Propanolamines, Propanols, QTc Prolonging Agents, Sensory Organs, Sympatholytics"," Beta-1 adrenergic receptor,  Beta-2 adrenergic receptor,  Cytochrome P450 2D6,  Cytochrome P450 1A2","DB00195, DB09351, DB00264, DB00335, DB06987, DB13443",Solid
DB17882,Epitalon,investigational,C[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(O)=O,C14H22N4O9,1,"Amino Acids, Peptides, and Proteins, Peptides",,"DB17882, DB16187, DB11882, DB05633, DB16176, DB06045, DB13034, DB12613, DB14940, DB13006, DB12795, DB18564",State information not found
DB13852,Mefenorex,experimental,CC(CC1=CC=CC=C1)NCCCCl,C12H18ClN,1,"Agents producing tachycardia, Agents that produce hypertension, Alimentary Tract and Metabolism, Amines, Antiobesity Preparations, Excl. Diet Products, Autonomic Agents, Centrally Acting Antiobesity Products, Ethylamines, Peripheral Nervous System Agents, Phenethylamines, Sympathomimetics",,"DB13852, DB13285, DB01550, DB01577, DB09571, DB01365, DB01037, DB12650, DB04677",State information not found
