DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB00014,+,0.9771,-,0.8816,-,0.7772,Substrate,0.9016,Non-inhibitor,0.5834,Non-inhibitor,0.8342,Non-inhibitor,0.7673,Non-substrate,0.7534,Non-substrate,0.7806,Substrate,0.6353,Non-inhibitor,0.8265,Non-inhibitor,0.7506,Non-inhibitor,0.8835,Non-inhibitor,0.7254,Non-inhibitor,0.6347,Low CYP Inhibitory Promiscuity,0.9054,Non AMES toxic,0.5851,Non-carcinogens,0.6406,Not ready biodegradable,1.0,"2.6730 LD50, mol/kg",Not applicable,Weak inhibitor,0.8841,Inhibitor,0.5249
DB00035,+,0.7979,-,0.8866,-,0.7612,Substrate,0.8242,Non-inhibitor,0.7864,Non-inhibitor,0.9237,Non-inhibitor,0.5915,Non-substrate,0.7833,Non-substrate,0.7901,Non-substrate,0.5497,Non-inhibitor,0.8383,Non-inhibitor,0.7906,Non-inhibitor,0.8735,Non-inhibitor,0.765,Non-inhibitor,0.7663,Low CYP Inhibitory Promiscuity,0.9331,Non AMES toxic,0.6679,Non-carcinogens,0.8428,Not ready biodegradable,0.9445,"2.7183 LD50, mol/kg",Not applicable,Weak inhibitor,0.83,Inhibitor,0.6036
DB11323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07447,+,1.0,+,0.9818,+,0.8846,Substrate,0.57,Non-inhibitor,0.5631,Non-inhibitor,0.846,Non-inhibitor,0.7884,Non-substrate,0.7715,Non-substrate,0.93,Substrate,0.7314,Non-inhibitor,0.6853,Non-inhibitor,0.9071,Non-inhibitor,0.971,Non-inhibitor,0.9025,Non-inhibitor,0.8546,Low CYP Inhibitory Promiscuity,0.9647,Non AMES toxic,0.9414,Non-carcinogens,0.9182,Not ready biodegradable,0.9686,"1.9757 LD50, mol/kg",Not applicable,Weak inhibitor,0.9444,Non-inhibitor,0.576
DB13758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07467,+,1.0,+,0.8868,-,0.5529,Non-substrate,0.6859,Non-inhibitor,0.9158,Non-inhibitor,0.9179,Non-inhibitor,0.8575,Non-substrate,0.5265,Non-substrate,0.7924,Non-substrate,0.519,Inhibitor,0.582,Non-inhibitor,0.5775,Non-inhibitor,0.8151,Non-inhibitor,0.6572,Non-inhibitor,0.8309,High CYP Inhibitory Promiscuity,0.7471,Non AMES toxic,0.6869,Non-carcinogens,0.7674,Not ready biodegradable,0.9862,"2.0823 LD50, mol/kg",Not applicable,Weak inhibitor,0.986,Non-inhibitor,0.8804
DB02327,+,0.8022,+,0.7177,-,0.6047,Non-substrate,0.5512,Non-inhibitor,0.871,Non-inhibitor,0.5686,Non-inhibitor,0.8556,Non-substrate,0.855,Non-substrate,0.8718,Non-substrate,0.7379,Non-inhibitor,0.9373,Non-inhibitor,0.9171,Non-inhibitor,0.9671,Non-inhibitor,0.9138,Non-inhibitor,0.9509,Low CYP Inhibitory Promiscuity,0.9547,Non AMES toxic,0.8251,Non-carcinogens,0.7438,Ready biodegradable,0.6178,"0.9772 LD50, mol/kg",Not applicable,Weak inhibitor,0.8496,Non-inhibitor,0.8278
DB17692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
